RegionName,State,Type,2010,2011,2012,2013,2014,2015,2016,2017,2018
Saint Petersburg,FL,2-Bedroom,0,903,982,954,989,1100,1140,1187,1318
Pensacola,FL,2-Bedroom,0,598,609,630,635,688,712,762,874
Fort Wayne,IN,2-Bedroom,0,0,0,0,0,0,623,599,640
Greensboro,NC,2-Bedroom,0,740,701,714,733,733,758,782,835
Lincoln,NE,2-Bedroom,0,0,850,868,917,905,948,947,962
San Bernardino,CA,2-Bedroom,0,879,846,838,866,922,951,994,1047
Corona,CA,2-Bedroom,0,1313,1277,1300,1371,1421,1477,1571,1798
Chula Vista,CA,2-Bedroom,0,1400,1438,1443,1566,1670,1814,1902,2047
Chesapeake,VA,2-Bedroom,0,1163,1162,1190,1165,1208,1241,1219,1203
Hialeah,FL,2-Bedroom,0,0,0,0,0,0,0,1457,1486
Madison,WI,2-Bedroom,0,0,0,0,1097,1138,1175,1277,1296
Garland,TX,2-Bedroom,0,0,0,0,0,0,0,1202,1272
Fort Myers,FL,2-Bedroom,0,0,0,0,0,0,0,1324,1420
Knoxville,TN,2-Bedroom,0,670,722,722,743,771,812,830,907
Laredo,TX,2-Bedroom,0,0,0,0,0,0,0,897,841
North Las Vegas,NV,2-Bedroom,0,911,824,811,830,870,904,928,1050
Lawrenceville,GA,2-Bedroom,0,723,778,813,844,938,1002,1030,1135
Fremont,CA,2-Bedroom,0,1637,1675,1857,2064,2318,2622,2551,2612
Fayetteville,NC,2-Bedroom,0,712,677,750,703,686,663,691,687
Springfield,MO,2-Bedroom,0,542,530,534,521,533,550,578,586
Arlington,VA,2-Bedroom,2256,2506,2822,2688,2604,2563,2562,2620,2676
Irving,TX,2-Bedroom,0,0,0,0,0,1262,1396,1455,1499
Scottsdale,AZ,2-Bedroom,1767,1322,1011,1070,1301,1435,1497,1465,1490
Rochester,NY,2-Bedroom,0,0,0,907,800,780,816,833,924
Winston-Salem,NC,2-Bedroom,0,622,639,656,657,681,770,782,803
Irvine,CA,2-Bedroom,2038,2080,2146,2195,2221,2234,2311,2409,2479
Richmond,VA,2-Bedroom,709,789,819,849,969,960,1130,1123,1239
Boca Raton,FL,2-Bedroom,1407,1414,1390,1417,1502,1563,1630,1671,1879
Oxnard,CA,2-Bedroom,0,1424,1516,1604,1730,1910,1895,1989,2140
Bradenton,FL,2-Bedroom,0,0,0,0,0,0,0,1356,1443
Montgomery,AL,2-Bedroom,0,0,0,0,0,0,0,721,689
Santa Rosa,CA,2-Bedroom,0,0,0,0,1472,1825,1964,2007,2148
Des Moines,IA,2-Bedroom,0,738,704,742,730,785,810,855,868
Reno,NV,2-Bedroom,0,772,756,780,798,850,938,1094,1322
Spokane,WA,2-Bedroom,0,638,649,675,681,732,756,793,893
Augusta,GA,2-Bedroom,0,0,0,0,0,0,0,899,840
Tacoma,WA,2-Bedroom,0,932,877,907,983,1030,1118,1203,1329
Grand Rapids,MI,2-Bedroom,0,0,0,0,0,0,0,1250,1135
Oceanside,CA,2-Bedroom,0,1439,1407,1423,1495,1570,1653,1739,1840
Gainesville,FL,2-Bedroom,696,745,794,728,753,767,847,891,907
Woodbridge,VA,2-Bedroom,0,1372,1356,1408,1404,1451,1429,1473,1581
Ocala,FL,2-Bedroom,0,662,688,707,681,715,760,784,877
Glendale,CA,2-Bedroom,0,1570,1610,1817,1917,2129,2486,2382,2515
Boise,ID,2-Bedroom,0,644,654,672,690,747,812,848,920
Greenville,SC,2-Bedroom,0,750,710,772,794,852,949,1017,1060
Birmingham,AL,2-Bedroom,0,0,0,0,0,0,0,807,896
Salt Lake City,UT,2-Bedroom,0,0,0,874,882,1011,1175,1239,1465
Huntington Beach,CA,2-Bedroom,0,0,0,0,0,0,0,2773,2706
Akron,OH,2-Bedroom,0,0,604,620,642,643,662,668,683
Rockford,IL,2-Bedroom,0,0,0,578,593,618,634,647,654
Salinas,CA,2-Bedroom,0,0,0,0,0,0,0,1717,1758
Worcester,MA,2-Bedroom,0,1061,999,1054,1025,1088,1146,1181,1236
Moreno Valley,CA,2-Bedroom,0,1028,1063,1098,1142,1150,1310,1322,1412
Little Rock,AR,2-Bedroom,0,757,798,837,746,787,788,810,791
Port Saint Lucie,FL,2-Bedroom,856,909,930,975,1006,1089,1149,1195,1268
Brownsville,TX,2-Bedroom,0,0,0,0,0,0,0,0,765
Providence,RI,2-Bedroom,0,0,0,0,0,0,0,1448,1486
Amarillo,TX,2-Bedroom,0,0,0,0,0,0,820,803,811
Lancaster,CA,2-Bedroom,0,0,0,0,0,0,0,1214,1305
Fort Collins,CO,2-Bedroom,0,0,1222,1070,1040,1187,1307,1318,1343
Shreveport,LA,2-Bedroom,0,0,852,784,671,725,744,732,667
Evansville,IN,2-Bedroom,0,0,0,0,0,670,615,620,623
Yonkers,NY,2-Bedroom,0,1525,1479,1534,1577,1684,1730,1778,1839
Hayward,CA,2-Bedroom,0,0,0,0,0,0,0,2071,2138
Fort Lauderdale,FL,2-Bedroom,0,1775,1687,1710,1645,1756,1833,1851,2000
Chattanooga,TN,2-Bedroom,0,0,0,0,0,0,0,901,930
Columbus,GA,2-Bedroom,0,0,800,704,598,645,659,626,735
Aurora,IL,2-Bedroom,0,1190,1195,1266,1292,1349,1420,1396,1472
Ontario,CA,2-Bedroom,0,1270,1285,1276,1324,1394,1511,1571,1697
Grand Prairie,TX,2-Bedroom,0,0,0,0,0,0,0,1135,1222
Rancho Cucamonga,CA,2-Bedroom,0,1375,1469,1504,1559,1621,1735,1782,1879
Overland Park,KS,2-Bedroom,0,0,882,859,915,1014,1059,1151,1203
Newport News,VA,2-Bedroom,0,0,0,0,0,0,0,886,908
Garden Grove,CA,2-Bedroom,0,0,0,0,0,0,0,1806,1881
Killeen,TX,2-Bedroom,0,550,550,555,547,550,550,548,550
Roanoke,VA,2-Bedroom,0,0,0,726,758,807,807,803,830
Sioux Falls,SD,2-Bedroom,0,653,702,717,715,787,831,822,814
Tempe,AZ,2-Bedroom,0,0,0,0,0,0,0,0,1229
Vancouver,WA,2-Bedroom,0,819,821,867,927,1005,1148,1218,1289
El Cajon,CA,2-Bedroom,0,1109,1108,1161,1197,1288,1402,1532,1700
Topeka,KS,2-Bedroom,0,0,623,590,616,612,620,634,645
Pueblo,CO,2-Bedroom,0,0,0,0,0,0,0,731,768
Fredericksburg,VA,2-Bedroom,0,1053,1228,1180,1133,1144,1166,1234,1273
Cape Coral,FL,2-Bedroom,0,0,0,0,0,0,0,1178,1252
Springfield,MA,2-Bedroom,0,0,0,0,0,0,0,0,966
Pembroke Pines,FL,2-Bedroom,1150,1219,1246,1300,1359,1410,1479,1498,1558
Murfreesboro,TN,2-Bedroom,0,0,0,0,0,0,0,1026,1038
Clarksville,TN,2-Bedroom,0,646,665,675,676,663,686,692,692
Naperville,IL,2-Bedroom,0,1347,1364,1362,1392,1440,1511,1549,1603
Peoria,AZ,2-Bedroom,0,0,0,0,0,0,0,1111,1123
Fairfax,VA,2-Bedroom,0,0,0,0,1859,1823,1863,1892,1949
Santa Clarita,CA,2-Bedroom,0,1424,1607,1699,1679,1751,1832,1889,1970
Pomona,CA,2-Bedroom,0,0,0,0,0,0,0,1581,1611
Lafayette,LA,2-Bedroom,0,0,0,0,0,0,0,798,786
Kansas City,KS,2-Bedroom,0,0,0,0,0,0,0,931,975
Boynton Beach,FL,2-Bedroom,1282,1224,1193,1237,1369,1395,1462,1482,1514
Syracuse,NY,2-Bedroom,0,0,0,0,0,0,0,802,848
Salem,OR,2-Bedroom,0,718,678,661,661,697,808,915,987
Hollywood,FL,2-Bedroom,1907,1644,1488,1536,1649,1671,1785,1769,1747
Paterson,NJ,2-Bedroom,0,0,0,0,0,0,0,1554,1548
Lakewood,CO,2-Bedroom,0,0,0,0,0,0,0,0,1686
Alexandria,VA,2-Bedroom,0,1845,1892,1983,2098,2130,2106,1974,1958
Dayton,OH,2-Bedroom,0,490,520,532,547,559,560,620,631
Yuma,AZ,2-Bedroom,0,0,0,0,0,0,0,788,788
Sunnyvale,CA,2-Bedroom,0,0,2158,2283,2599,2943,3118,3081,3145
Visalia,CA,2-Bedroom,0,0,0,0,0,0,0,937,953
Las Cruces,NM,2-Bedroom,0,0,0,0,0,691,640,618,611
Charleston,SC,2-Bedroom,0,1114,1157,1213,1330,1374,1547,1569,1582
Bridgeport,CT,2-Bedroom,0,1154,1131,1133,1186,1194,1271,1274,1286
Eugene,OR,2-Bedroom,0,0,845,831,850,913,975,1017,1059
Escondido,CA,2-Bedroom,0,1278,1264,1274,1363,1441,1501,1623,1717
Newark,DE,2-Bedroom,0,0,0,0,1098,1171,1199,1191,1214
Round Rock,TX,2-Bedroom,0,898,963,1015,1108,1121,1146,1157,1303
Hampton,VA,2-Bedroom,0,870,907,874,869,898,921,970,1020
Pasadena,CA,2-Bedroom,0,2003,2119,2268,2225,2485,2527,2619,2674
Torrance,CA,2-Bedroom,0,0,0,0,0,2055,2078,2093,2197
Columbia,SC,2-Bedroom,0,715,755,759,769,796,818,829,889
Tyler,TX,2-Bedroom,0,0,0,0,0,949,901,885,952
Mesquite,TX,2-Bedroom,0,0,0,0,0,0,0,1033,1058
Fullerton,CA,2-Bedroom,0,0,0,0,0,0,2139,2077,2105
Warren,MI,2-Bedroom,0,0,0,0,0,0,0,876,848
McKinney,TX,2-Bedroom,0,0,1048,1131,1268,1269,1297,1329,1386
