RegionName,State,Type,2010,2011,2012,2013,2014,2015,2016,2017,2018
Miami,FL,1-Bedroom,1540,1617,1702,1800,1856,1916,1995,1925,1944
Oakland,CA,1-Bedroom,0,0,0,0,0,2008,2255,2194,2192
Tulsa,OK,1-Bedroom,0,0,0,0,0,0,627,628,617
Honolulu,HI,1-Bedroom,0,1550,1533,1708,1651,1860,1821,1728,1784
Minneapolis,MN,1-Bedroom,0,0,0,1423,1282,1315,1432,1407,1555
Baton Rouge,LA,1-Bedroom,0,0,0,0,0,0,0,988,986
New Orleans,LA,1-Bedroom,0,0,0,0,0,1243,1307,1263,1239
Arlington,TX,1-Bedroom,0,542,568,611,649,693,795,828,931
Raleigh,NC,1-Bedroom,0,698,773,766,807,826,1032,1062,1071
Wichita,KS,1-Bedroom,0,0,0,0,0,541,482,557,619
Tampa,FL,1-Bedroom,0,0,0,0,0,0,0,1248,1317
Anaheim,CA,1-Bedroom,0,1175,1140,1160,1229,1313,1603,1747,1798
Santa Ana,CA,1-Bedroom,0,0,0,0,0,0,1690,1622,1801
Aurora,CO,1-Bedroom,0,0,0,0,0,0,0,1290,1238
Saint Louis,MO,1-Bedroom,0,0,641,609,613,700,710,736,777
Corpus Christi,TX,1-Bedroom,0,0,0,0,841,807,879,855,953
Pittsburgh,PA,1-Bedroom,0,0,0,0,0,0,0,1017,1051
Riverside,CA,1-Bedroom,0,830,839,843,834,968,1119,1124,1309
Marietta,GA,1-Bedroom,0,0,0,0,763,858,887,854,914
Anchorage,AK,1-Bedroom,0,0,0,0,972,966,957,930,930
Bakersfield,CA,1-Bedroom,0,0,0,0,0,0,0,0,704
Saint Paul,MN,1-Bedroom,0,0,0,0,0,0,1133,1092,1246
Toledo,OH,1-Bedroom,0,0,0,0,0,0,0,479,508
Silver Spring,MD,1-Bedroom,0,1294,1477,1574,1570,1612,1545,1533,1637
Lexington,KY,1-Bedroom,0,629,637,625,647,693,723,729,737
Stockton,CA,1-Bedroom,0,0,0,0,0,0,0,863,849
Plano,TX,1-Bedroom,0,783,805,869,916,944,1039,1110,1153
Buffalo,NY,1-Bedroom,0,0,0,0,0,0,0,841,848
Chandler,AZ,1-Bedroom,0,729,771,779,806,853,945,973,1011
Louisville,KY,1-Bedroom,0,0,0,695,758,726,751,792,840
Henderson,NV,1-Bedroom,0,0,0,0,0,0,0,979,1029
Modesto,CA,1-Bedroom,0,0,0,0,0,0,0,0,1017
Mobile,AL,1-Bedroom,0,0,0,0,0,0,0,610,584
Jersey City,NJ,1-Bedroom,0,0,1987,2069,1944,1930,2072,2061,2329
Lubbock,TX,1-Bedroom,0,0,0,0,0,619,589,587,583
Durham,NC,1-Bedroom,0,0,0,0,0,0,1088,1016,1043
Orlando,FL,1-Bedroom,634,716,787,808,830,876,1020,1070,1172
Norfolk,VA,1-Bedroom,0,0,0,0,0,0,0,0,1083
Saint Petersburg,FL,1-Bedroom,0,701,707,722,712,772,851,901,979
Pensacola,FL,1-Bedroom,0,0,0,0,0,0,0,789,876
Fort Wayne,IN,1-Bedroom,0,0,0,0,0,0,0,491,494
Greensboro,NC,1-Bedroom,0,0,555,590,572,578,616,655,709
Lincoln,NE,1-Bedroom,0,0,675,700,724,740,765,767,847
San Bernardino,CA,1-Bedroom,0,0,0,0,0,0,0,803,847
Corona,CA,1-Bedroom,0,0,1051,1018,1105,1162,1229,1348,1607
Chula Vista,CA,1-Bedroom,0,0,0,0,0,0,1438,1596,1700
Chesapeake,VA,1-Bedroom,0,0,0,0,0,0,0,1092,1046
Hialeah,FL,1-Bedroom,0,0,0,0,0,0,0,1253,1222
Madison,WI,1-Bedroom,0,0,0,0,0,0,1014,1000,1005
Garland,TX,1-Bedroom,0,0,0,0,697,700,853,950,998
Fort Myers,FL,1-Bedroom,0,648,638,659,698,807,919,972,970
Knoxville,TN,1-Bedroom,0,0,537,599,636,624,653,663,732
Laredo,TX,1-Bedroom,0,0,0,0,0,0,0,0,829
North Las Vegas,NV,1-Bedroom,0,0,0,0,0,0,0,854,898
Lawrenceville,GA,1-Bedroom,0,0,0,0,0,0,0,892,945
Fremont,CA,1-Bedroom,0,0,1398,1592,1792,2017,2195,2169,2230
Fayetteville,NC,1-Bedroom,0,0,0,0,0,0,0,600,621
Springfield,MO,1-Bedroom,0,425,419,446,451,464,475,491,496
Arlington,VA,1-Bedroom,0,2426,2113,1996,1920,1905,1945,1986,2032
Irving,TX,1-Bedroom,0,0,0,0,0,0,1094,1094,1146
Gilbert,AZ,1-Bedroom,0,0,0,0,0,0,0,1008,1009
Scottsdale,AZ,1-Bedroom,0,0,0,0,0,0,1230,1218,1249
Rochester,NY,1-Bedroom,0,0,619,639,708,708,723,728,793
Winston-Salem,NC,1-Bedroom,0,0,0,0,0,0,0,725,704
Irvine,CA,1-Bedroom,1541,1562,1569,1676,1703,1788,1846,1923,2014
Richmond,VA,1-Bedroom,0,0,0,0,0,0,1017,1010,1065
Boca Raton,FL,1-Bedroom,0,0,0,0,0,0,0,0,1848
Bradenton,FL,1-Bedroom,0,614,725,691,772,825,971,995,1067
Santa Rosa,CA,1-Bedroom,0,934,1003,1181,1094,1366,1535,1595,1741
Tacoma,WA,1-Bedroom,0,0,0,0,0,0,0,1108,1162
Grand Rapids,MI,1-Bedroom,0,0,0,0,0,0,0,1200,1032
Oceanside,CA,1-Bedroom,0,0,0,0,1446,1342,1408,1493,1599
Gainesville,FL,1-Bedroom,0,0,0,0,0,0,692,710,767
Glendale,CA,1-Bedroom,0,0,0,0,0,0,0,2010,2065
Boise,ID,1-Bedroom,0,564,575,603,569,608,671,703,795
Greenville,SC,1-Bedroom,0,0,0,0,0,0,0,1076,1003
Birmingham,AL,1-Bedroom,0,0,0,0,0,0,0,947,939
Huntington Beach,CA,1-Bedroom,0,0,0,0,0,0,0,2496,2287
Akron,OH,1-Bedroom,0,0,0,0,0,0,0,539,542
Rockford,IL,1-Bedroom,0,0,0,0,0,0,0,525,538
Salinas,CA,1-Bedroom,0,0,0,0,0,0,0,1371,1396
Moreno Valley,CA,1-Bedroom,0,0,0,0,0,0,0,0,1145
Little Rock,AR,1-Bedroom,0,0,0,0,785,694,710,702,705
Port Saint Lucie,FL,1-Bedroom,0,0,0,0,0,0,0,1001,1029
Providence,RI,1-Bedroom,0,0,0,0,1295,1290,1267,1398,1431
Amarillo,TX,1-Bedroom,0,0,0,0,0,0,0,624,650
Shreveport,LA,1-Bedroom,0,0,0,0,0,0,0,596,586
Evansville,IN,1-Bedroom,0,0,0,0,0,0,0,485,481
Yonkers,NY,1-Bedroom,0,1232,1198,1211,1281,1358,1405,1418,1504
Hayward,CA,1-Bedroom,0,0,0,0,0,0,0,1893,1872
Fort Lauderdale,FL,1-Bedroom,0,1175,1155,1200,1140,1316,1418,1376,1449
Chattanooga,TN,1-Bedroom,0,0,0,0,0,0,0,881,840
Columbus,GA,1-Bedroom,0,0,0,0,0,0,0,675,743
Aurora,IL,1-Bedroom,0,0,0,0,0,0,0,1135,1233
Ontario,CA,1-Bedroom,0,0,0,0,0,0,0,1466,1481
Grand Prairie,TX,1-Bedroom,0,0,0,0,0,0,977,949,952
Rancho Cucamonga,CA,1-Bedroom,0,1095,1207,1228,1299,1334,1444,1517,1592
Overland Park,KS,1-Bedroom,0,0,0,0,0,846,889,888,918
Newport News,VA,1-Bedroom,0,0,0,0,0,827,807,832,847
Garden Grove,CA,1-Bedroom,0,0,0,0,0,0,0,1549,1536
Killeen,TX,1-Bedroom,0,0,0,0,0,0,0,464,470
Roanoke,VA,1-Bedroom,0,0,0,0,0,0,0,717,694
Sioux Falls,SD,1-Bedroom,0,0,0,0,0,667,740,722,697
Tempe,AZ,1-Bedroom,0,0,0,0,0,0,1123,1007,1113
El Cajon,CA,1-Bedroom,0,0,0,0,0,0,0,1293,1360
Topeka,KS,1-Bedroom,0,0,0,0,0,0,0,453,502
Fredericksburg,VA,1-Bedroom,0,0,0,0,0,0,0,1176,1157
Pembroke Pines,FL,1-Bedroom,0,910,1006,1062,1078,1126,1235,1283,1350
Naperville,IL,1-Bedroom,0,0,0,0,1155,1122,1220,1218,1301
Peoria,AZ,1-Bedroom,0,0,0,0,0,0,0,906,913
Fairfax,VA,1-Bedroom,0,1655,1557,1591,1519,1520,1558,1614,1691
Santa Clarita,CA,1-Bedroom,0,0,1339,1410,1422,1508,1590,1676,1725
Pomona,CA,1-Bedroom,0,0,0,0,0,0,0,1223,1226
Kansas City,KS,1-Bedroom,0,0,0,0,0,0,0,971,915
Boynton Beach,FL,1-Bedroom,0,875,930,1016,1126,1147,1232,1268,1299
Salem,OR,1-Bedroom,0,0,0,0,0,0,0,733,774
Hollywood,FL,1-Bedroom,0,0,0,0,0,0,0,1380,1407
Paterson,NJ,1-Bedroom,0,0,0,0,0,0,0,1203,1257
Lakewood,CO,1-Bedroom,0,696,839,893,1034,1205,1350,1298,1425
Alexandria,VA,1-Bedroom,0,0,1490,1576,1689,1713,1687,1653,1661
Dayton,OH,1-Bedroom,0,0,0,0,0,0,0,456,504
Sunnyvale,CA,1-Bedroom,0,0,1859,1854,2083,2373,2546,2545,2660
Charleston,SC,1-Bedroom,0,0,0,0,1317,1246,1312,1323,1365
Bridgeport,CT,1-Bedroom,0,900,939,935,943,925,1030,1022,1028
Escondido,CA,1-Bedroom,0,0,0,0,0,0,0,1312,1347
Newark,DE,1-Bedroom,0,0,0,0,0,0,0,911,939
Round Rock,TX,1-Bedroom,0,768,780,813,854,873,921,925,1013
Hampton,VA,1-Bedroom,0,814,793,747,701,763,796,829,880
Pasadena,CA,1-Bedroom,0,0,0,0,1971,1959,1994,2110,2163
Torrance,CA,1-Bedroom,0,1240,1226,1289,1286,1290,1434,1500,1569
Columbia,SC,1-Bedroom,0,0,0,0,764,753,751,751,822
Tyler,TX,1-Bedroom,0,0,0,0,758,761,738,758,803
Mesquite,TX,1-Bedroom,0,0,0,0,0,0,0,796,818
Fullerton,CA,1-Bedroom,0,0,0,0,0,0,0,1695,1707
McKinney,TX,1-Bedroom,0,0,0,0,863,898,937,983,1028
Renton,WA,1-Bedroom,0,0,0,1051,1082,1212,1300,1331,1372
Metairie,LA,1-Bedroom,0,0,0,0,0,0,0,869,866
Inglewood,CA,1-Bedroom,0,0,0,0,0,0,0,1262,1361
Orange,CA,1-Bedroom,0,0,0,0,0,0,0,1901,1956
New Haven,CT,1-Bedroom,0,1270,1234,1155,1163,1126,1174,1162,1168
Abilene,TX,1-Bedroom,0,0,0,0,0,0,0,0,485
Bellevue,WA,1-Bedroom,0,0,0,0,0,0,0,1898,1952
Bloomington,IN,1-Bedroom,0,0,872,777,726,720,696,735,699
Olathe,KS,1-Bedroom,0,0,0,0,0,0,0,696,706
Miramar,FL,1-Bedroom,0,1080,1101,1160,1195,1272,1321,1341,1485
Coral Springs,FL,1-Bedroom,0,874,929,954,959,1018,1095,1160,1166
Hartford,CT,1-Bedroom,0,0,0,0,0,0,0,837,850
Stamford,CT,1-Bedroom,1631,1722,1656,1820,1695,1836,1879,1856,2036
Simi Valley,CA,1-Bedroom,0,0,0,0,0,0,0,1733,1776
Concord,CA,1-Bedroom,0,0,0,0,0,0,0,1733,1689
Frisco,TX,1-Bedroom,0,0,889,905,947,965,1070,1174,1207
Carrollton,TX,1-Bedroom,0,0,0,0,0,0,1043,1076,1041
Billings,MT,1-Bedroom,0,0,0,0,573,585,578,594,615
Allentown,PA,1-Bedroom,0,0,748,690,678,739,784,821,910
Amherst,NY,1-Bedroom,0,0,0,0,0,0,0,1179,1159
Vallejo,CA,1-Bedroom,0,0,0,0,0,0,0,1469,1473
Santa Clara,CA,1-Bedroom,0,0,1767,1823,1950,2239,2337,2404,2477
Cary,NC,1-Bedroom,0,0,739,828,870,835,906,958,1032
Cypress,TX,1-Bedroom,0,0,0,0,0,0,0,992,1019
Conroe,TX,1-Bedroom,0,0,0,0,0,0,919,948,1006
Berkeley,CA,1-Bedroom,0,0,0,0,0,0,0,2424,2637
Hemet,CA,1-Bedroom,0,0,0,0,0,0,0,882,855
Norman,OK,1-Bedroom,0,0,0,0,0,0,0,631,647
Falls Church,VA,1-Bedroom,0,0,1461,1425,1400,1463,1534,1590,1775
Springfield,IL,1-Bedroom,0,0,0,0,0,0,0,560,556
Denton,TX,1-Bedroom,0,631,671,703,738,762,755,819,866
Downey,CA,1-Bedroom,0,0,0,0,0,0,0,1427,1450
Thornton,CO,1-Bedroom,0,0,0,0,0,1074,1155,1192,1246
Frederick,MD,1-Bedroom,0,0,0,0,1278,1249,1195,1143,1235
Westminster,CO,1-Bedroom,0,0,0,0,0,0,1149,1189,1277
Lansing,MI,1-Bedroom,0,0,0,0,0,0,0,601,631
Waterbury,CT,1-Bedroom,0,0,0,0,0,0,710,717,721
Temecula,CA,1-Bedroom,0,0,0,0,0,0,0,1409,1470
Costa Mesa,CA,1-Bedroom,0,0,1433,1437,1464,1729,1776,1796,1853
Manchester,NH,1-Bedroom,0,802,803,823,846,869,885,978,1032
Vista,CA,1-Bedroom,0,0,0,0,0,0,0,1531,1577
Ventura,CA,1-Bedroom,0,0,0,0,0,1392,1448,1435,1538
Murrieta,CA,1-Bedroom,0,0,0,0,0,0,0,1341,1379
Peoria,IL,1-Bedroom,0,0,0,0,0,0,0,597,602
Ann Arbor,MI,1-Bedroom,0,0,0,0,0,0,0,1100,1114
Lowell,MA,1-Bedroom,0,0,0,0,0,0,0,1262,1281
Cambridge,MA,1-Bedroom,0,2220,2283,2365,2317,2308,2329,2362,2387
Roseville,CA,1-Bedroom,0,0,0,0,0,0,0,0,1352
Burbank,CA,1-Bedroom,0,0,0,0,0,0,0,1713,1751
Everett,WA,1-Bedroom,0,725,820,872,905,933,1019,1089,1172
Spartanburg,SC,1-Bedroom,0,0,0,0,0,0,0,835,810
Bend,OR,1-Bedroom,0,0,0,0,0,0,0,1174,1174
Tuscaloosa,AL,1-Bedroom,0,0,0,0,0,0,0,743,750
Springfield,VA,1-Bedroom,0,0,0,0,0,0,0,0,1561
Wilmington,NC,1-Bedroom,0,575,643,697,724,734,796,848,872
Pompano Beach,FL,1-Bedroom,0,868,895,911,940,1006,1032,1172,1231
Davenport,IA,1-Bedroom,0,0,0,0,0,0,0,610,615
Grand Junction,CO,1-Bedroom,0,0,0,0,0,0,0,613,614
Fargo,ND,1-Bedroom,0,0,0,0,0,0,0,689,656
West Covina,CA,1-Bedroom,0,0,0,0,0,0,0,0,1632
Carlsbad,CA,1-Bedroom,0,0,0,0,0,0,0,1850,1934
Bowling Green,KY,1-Bedroom,0,0,0,0,0,0,0,683,714
Lewisville,TX,1-Bedroom,0,700,712,748,811,817,913,985,988
Beaverton,OR,1-Bedroom,0,0,0,0,867,964,1161,1165,1237
West Palm Beach,FL,1-Bedroom,0,0,0,0,978,1070,1258,1282,1333
Columbia,MO,1-Bedroom,0,0,0,0,0,0,0,556,594
Erie,PA,1-Bedroom,0,0,0,0,0,0,0,525,559
Cedar Rapids,IA,1-Bedroom,0,0,0,0,0,0,0,514,485
Norcross,GA,1-Bedroom,0,0,0,0,0,0,743,783,846
Fairfield,CA,1-Bedroom,0,0,0,0,0,0,0,1657,1696
San Mateo,CA,1-Bedroom,0,0,2085,2021,2185,2417,2591,2512,2611
Daly City,CA,1-Bedroom,0,0,0,0,0,0,0,0,2363
San Leandro,CA,1-Bedroom,0,0,0,0,0,0,0,1646,1698
Sandy Springs,GA,1-Bedroom,0,829,786,770,954,1029,1078,1048,1145
Albany,NY,1-Bedroom,0,0,0,0,0,0,957,897,896
Richardson,TX,1-Bedroom,0,0,0,0,0,1070,1153,1241,1333
Portsmouth,VA,1-Bedroom,0,0,0,0,0,0,0,991,957
Longview,TX,1-Bedroom,0,0,0,0,0,0,0,631,646
Laurel,MD,1-Bedroom,0,0,0,0,1270,1252,1247,1324,1292
Duluth,GA,1-Bedroom,0,0,0,0,0,0,0,940,1132
Davie,FL,1-Bedroom,0,0,0,0,0,0,1412,1363,1404
West Chester,PA,1-Bedroom,0,0,0,0,0,1357,1294,1337,1329
Columbia,MD,1-Bedroom,0,1268,1306,1267,1301,1325,1374,1421,1652
Newton,MA,1-Bedroom,0,0,1609,1634,1691,1697,1767,1763,1841
Lawrence,KS,1-Bedroom,0,0,0,0,0,0,0,590,606
Mission Viejo,CA,1-Bedroom,0,0,1344,1425,1492,1616,1742,1803,1858
Riverview,FL,1-Bedroom,0,0,0,0,0,0,0,1237,1139
South Bend,IN,1-Bedroom,0,0,0,0,0,0,0,592,621
Arvada,CO,1-Bedroom,0,0,0,0,0,0,0,1510,1438
Lawton,OK,1-Bedroom,0,0,0,0,0,0,0,500,489
Annapolis,MD,1-Bedroom,0,0,0,0,0,0,0,1541,1544
Highlands Ranch,CO,1-Bedroom,0,0,0,0,0,1326,1372,1382,1476
Federal Way,WA,1-Bedroom,0,0,0,0,0,0,0,1068,1172
Hillsboro,OR,1-Bedroom,0,0,0,0,1017,1112,1359,1364,1361
Champaign,IL,1-Bedroom,0,0,0,0,0,0,0,570,591
Bethlehem,PA,1-Bedroom,0,0,0,0,0,0,0,0,1380
Elgin,IL,1-Bedroom,0,0,0,0,0,0,0,0,881
Santa Monica,CA,1-Bedroom,0,2296,2271,2327,2434,2662,2995,2952,2943
Muncie,IN,1-Bedroom,0,0,0,0,0,0,0,479,490
Plantation,FL,1-Bedroom,0,945,1021,1066,1104,1193,1279,1275,1348
Cheyenne,WY,1-Bedroom,0,0,0,0,0,0,0,634,655
Lynchburg,VA,1-Bedroom,0,0,0,0,0,0,0,582,666
McDonough,GA,1-Bedroom,0,0,0,0,0,0,0,0,1005
Terre Haute,IN,1-Bedroom,0,0,0,0,0,0,0,486,481
Bryan,TX,1-Bedroom,0,0,0,0,0,0,0,0,830
Miami Beach,FL,1-Bedroom,1706,1560,1662,1692,1779,1805,1894,1792,1765
Concord,NC,1-Bedroom,0,0,0,0,0,0,0,962,1004
Allen,TX,1-Bedroom,0,0,0,0,0,0,0,1294,1276
Franklin,TN,1-Bedroom,0,0,0,0,0,0,0,1326,1310
Herndon,VA,1-Bedroom,0,1358,1446,1478,1417,1453,1476,1517,1617
Trenton,NJ,1-Bedroom,0,0,0,0,0,0,0,798,836
Nashua,NH,1-Bedroom,0,0,0,0,0,0,0,1033,1044
Edmond,OK,1-Bedroom,0,0,0,0,0,0,0,670,664
Lynn,MA,1-Bedroom,0,0,0,0,0,0,0,1600,1618
Reading,PA,1-Bedroom,0,0,0,0,0,0,0,585,600
Bowie,MD,1-Bedroom,0,0,0,0,0,0,0,1577,1600
Boulder,CO,1-Bedroom,0,0,0,0,0,1424,1518,1497,1556
Norwalk,CT,1-Bedroom,0,1556,1642,1719,1654,1668,1743,1707,1706
Poughkeepsie,NY,1-Bedroom,0,0,0,0,0,0,0,943,940
Apopka,FL,1-Bedroom,0,0,0,0,0,0,0,1031,1033
Germantown,MD,1-Bedroom,0,0,0,0,0,0,1410,1230,1331
Richmond,CA,1-Bedroom,0,0,0,0,0,0,0,0,1991
Hawthorne,CA,1-Bedroom,0,0,0,0,0,0,1150,1228,1307
Suffolk,VA,1-Bedroom,0,0,0,0,0,0,0,1076,1032
Spokane Valley,WA,1-Bedroom,0,0,0,0,0,0,0,815,841
Farmington Hills,MI,1-Bedroom,0,0,0,0,0,0,0,937,1011
Santa Barbara,CA,1-Bedroom,0,0,0,0,0,0,1911,1873,1929
Ogden,UT,1-Bedroom,0,0,0,0,0,0,0,587,577
Alhambra,CA,1-Bedroom,0,0,0,0,0,0,0,1743,1570
Leesburg,VA,1-Bedroom,0,0,0,0,0,0,0,1407,1465
Kent,WA,1-Bedroom,0,0,0,0,836,959,1042,1119,1264
Loveland,CO,1-Bedroom,0,0,0,0,0,0,0,1257,1232
Sterling,VA,1-Bedroom,0,0,0,0,0,0,0,1537,1495
Quincy,MA,1-Bedroom,0,1381,1495,1537,1503,1537,1633,1651,1808
Danbury,CT,1-Bedroom,0,0,0,0,0,0,1749,1564,1613
Arden-Arcade,CA,1-Bedroom,0,650,677,691,684,710,791,867,941
Parker,CO,1-Bedroom,0,0,0,0,0,0,0,1314,1341
Glen Burnie,MD,1-Bedroom,0,0,0,0,0,989,1045,1096,1085
Ashburn,VA,1-Bedroom,0,0,1356,1365,1371,1361,1387,1488,1531
Roswell,GA,1-Bedroom,0,0,0,0,0,0,0,1100,1127
Longmont,CO,1-Bedroom,0,0,0,0,0,0,1139,1203,1289
Newnan,GA,1-Bedroom,0,0,0,0,0,0,0,959,983
Cranston,RI,1-Bedroom,0,0,0,0,0,0,0,950,981
Tustin,CA,1-Bedroom,0,0,0,0,0,0,0,1813,1779
Bloomington,IL,1-Bedroom,0,0,0,0,0,0,0,578,575
Walnut Creek,CA,1-Bedroom,0,0,0,0,0,0,0,0,2501
Town 'n' Country,FL,1-Bedroom,0,770,816,824,867,889,968,987,1060
Whittier,CA,1-Bedroom,0,0,0,0,0,0,0,1276,1291
Thousand Oaks,CA,1-Bedroom,0,0,0,0,0,0,0,1843,1850
Upland,CA,1-Bedroom,0,0,0,0,0,0,0,1285,1334
Iowa City,IA,1-Bedroom,0,0,0,0,0,0,0,785,731
Arlington Heights,IL,1-Bedroom,0,0,0,0,0,0,0,1450,1549
New Braunfels,TX,1-Bedroom,0,0,0,0,0,0,0,1016,1018
Bethlehem,PA,1-Bedroom,0,0,0,0,0,0,0,896,917
Evanston,IL,1-Bedroom,0,0,0,0,0,1173,1237,1259,1326
Pflugerville,TX,1-Bedroom,0,0,0,0,0,0,0,959,1031
Redmond,WA,1-Bedroom,0,0,1361,1324,1487,1555,1680,1689,1757
Somerville,MA,1-Bedroom,0,0,0,1758,1723,1806,1841,1920,1952
New Britain,CT,1-Bedroom,0,0,0,0,0,0,0,0,784
Largo,FL,1-Bedroom,0,0,0,0,0,0,0,813,868
Redlands,CA,1-Bedroom,0,0,0,0,0,0,0,0,1302
North Charleston,SC,1-Bedroom,0,0,0,0,0,0,0,926,1018
League City,TX,1-Bedroom,0,0,0,0,0,0,0,1021,1057
Pawtucket,RI,1-Bedroom,0,0,0,0,0,0,0,0,869
Folsom,CA,1-Bedroom,0,0,0,0,0,0,0,1451,1415
Sanford,FL,1-Bedroom,0,0,0,0,0,0,0,978,1027
Lynnwood,WA,1-Bedroom,0,0,0,0,0,0,0,1445,1385
Lake Forest,CA,1-Bedroom,0,0,0,0,0,0,0,1731,1746
Wilmington,DE,1-Bedroom,0,0,0,0,0,1045,1030,1092,1064
San Ramon,CA,1-Bedroom,0,0,0,0,0,0,0,1934,2013
New Rochelle,NY,1-Bedroom,0,1349,1557,1658,1412,1427,1510,1577,1649
La Mesa,CA,1-Bedroom,0,0,0,0,0,1316,1365,1464,1497
Palm Harbor,FL,1-Bedroom,0,0,0,0,0,0,0,997,974
Mount Pleasant,SC,1-Bedroom,0,0,0,0,0,0,0,1253,1374
Pleasanton,CA,1-Bedroom,0,0,0,0,0,0,0,2179,2212
Smyrna,GA,1-Bedroom,0,0,0,0,0,0,0,0,1136
Gresham,OR,1-Bedroom,0,0,0,0,0,0,0,1043,1074
Greenville,NC,1-Bedroom,0,0,0,0,0,0,0,493,478
Framingham,MA,1-Bedroom,0,0,0,0,0,0,1471,1468,1598
Lauderhill,FL,1-Bedroom,0,776,804,833,832,869,916,982,1039
Redondo Beach,CA,1-Bedroom,0,0,0,0,0,0,2121,1980,1974
Bismarck,ND,1-Bedroom,0,0,0,0,0,0,0,0,625
Mooresville,NC,1-Bedroom,0,0,0,0,0,0,0,877,891
Centreville,VA,1-Bedroom,0,0,0,0,0,0,0,1486,1502
San Marcos,CA,1-Bedroom,0,0,0,0,0,0,0,1796,1759
Bremerton,WA,1-Bedroom,0,0,0,0,0,0,0,850,914
Schaumburg,IL,1-Bedroom,0,0,0,0,0,0,0,1192,1211
Ellicott City,MD,1-Bedroom,0,0,0,0,0,0,0,1212,1279
Plymouth,MN,1-Bedroom,0,0,0,0,0,0,0,1294,1233
Waldorf,MD,1-Bedroom,0,0,0,0,0,0,0,1561,1508
Casper,WY,1-Bedroom,0,0,0,0,0,0,0,668,671
San Rafael,CA,1-Bedroom,0,0,0,0,0,0,0,2343,2370
Palo Alto,CA,1-Bedroom,0,0,0,0,0,0,0,2590,2611
Portland,ME,1-Bedroom,0,0,0,0,0,0,0,1445,1364
Union City,NJ,1-Bedroom,0,1212,1198,1135,1188,1256,1305,1347,1369
Tomball,TX,1-Bedroom,0,0,0,0,0,0,0,946,970
The Woodlands,TX,1-Bedroom,0,0,0,0,0,0,0,1052,1092
Lafayette,IN,1-Bedroom,0,0,0,0,0,0,0,627,641
Waterloo,IA,1-Bedroom,0,0,0,0,0,0,0,479,499
