RegionName,State,Type,2010,2011,2012,2013,2014,2015,2016,2017,2018
New York,NY,1-Bedroom,2389,2360,2493,2640,2574,2265,2246,2335,2365
Los Angeles,CA,1-Bedroom,1305,1326,1371,1513,1529,1761,1921,1987,2106
Chicago,IL,1-Bedroom,1367,1311,1372,1546,1559,1566,1622,1507,1546
Houston,TX,1-Bedroom,0,0,0,0,1177,1215,1298,1231,1265
Philadelphia,PA,1-Bedroom,1250,1162,1128,1140,1190,1191,1239,1332,1389
Phoenix,AZ,1-Bedroom,572,617,654,671,679,720,840,945,1002
Las Vegas,NV,1-Bedroom,628,695,629,657,687,776,838,875,902
San Antonio,TX,1-Bedroom,0,626,699,727,787,781,818,824,896
San Diego,CA,1-Bedroom,0,1341,1320,1344,1458,1676,1750,1769,1860
Dallas,TX,1-Bedroom,0,924,939,1076,1144,1155,1227,1278,1328
San Jose,CA,1-Bedroom,0,0,0,1661,1985,2368,2527,2417,2458
Jacksonville,FL,1-Bedroom,649,714,707,795,870,892,865,904,985
San Francisco,CA,1-Bedroom,0,2345,2686,2869,3098,3452,3547,3301,3356
Indianapolis,IN,1-Bedroom,0,0,577,565,562,604,712,757,743
Austin,TX,1-Bedroom,0,889,919,888,1006,1035,1086,1078,1117
Fort Worth,TX,1-Bedroom,0,657,679,713,770,855,964,1044,1208
Detroit,MI,1-Bedroom,0,500,533,513,523,540,532,589,612
Columbus,OH,1-Bedroom,0,0,0,565,600,699,752,806,838
Memphis,TN,1-Bedroom,0,764,641,655,593,636,727,697,766
Charlotte,NC,1-Bedroom,0,0,0,0,971,1034,1127,1221,1197
El Paso,TX,1-Bedroom,0,0,0,0,0,627,587,576,556
Boston,MA,1-Bedroom,0,1880,1949,2039,2023,2059,2077,2026,2060
Seattle,WA,1-Bedroom,0,1115,1256,1462,1574,1697,1774,1843,2005
Baltimore,MD,1-Bedroom,0,0,0,0,0,1125,1146,1200,1408
Denver,CO,1-Bedroom,0,0,1031,1070,1188,1437,1448,1422,1591
Washington,DC,1-Bedroom,1977,2168,2290,2218,2085,2111,2172,2144,2258
Nashville,TN,1-Bedroom,0,0,0,0,1003,1195,1369,1520,1544
Milwaukee,WI,1-Bedroom,0,0,0,0,0,0,775,778,788
Tucson,AZ,1-Bedroom,0,507,518,509,501,525,548,576,615
Portland,OR,1-Bedroom,0,0,0,0,0,0,1607,1506,1562
Oklahoma City,OK,1-Bedroom,0,0,0,0,0,0,750,723,739
Omaha,NE,1-Bedroom,0,535,577,632,690,715,754,775,862
Albuquerque,NM,1-Bedroom,0,0,617,615,575,611,699,662,696
Fresno,CA,1-Bedroom,0,0,0,0,0,0,510,593,650
Sacramento,CA,1-Bedroom,0,701,715,793,761,832,985,1100,1188
Mesa,AZ,1-Bedroom,0,557,589,598,634,620,675,761,803
Long Beach,CA,1-Bedroom,0,1031,994,1057,1020,1107,1280,1407,1497
Kansas City,MO,1-Bedroom,0,810,657,621,697,702,764,849,894
Virginia Beach,VA,1-Bedroom,0,0,0,0,0,0,0,1033,1096
Atlanta,GA,1-Bedroom,1102,1092,1025,1037,1182,1284,1384,1405,1472
