"","Region","RegionName","StateName","MSAName","CountyName","CityName","ForecastYoYPctChange"
"101","County","Ford","IL","Champaign-Urbana","Ford",NA,-0.963522012578621
"102","County","Ford","KS","Dodge City","Ford",NA,5.66209262435677
"103","County","Frio","TX",NA,"Frio",NA,1.66103603603605
"104","County","Gage","NE","Beatrice","Gage",NA,1.35145267104031
"105","County","Gila","AZ","Payson","Gila",NA,-0.889338049519961
"106","County","Gray","KS",NA,"Gray",NA,3.91588785046728
"107","County","Gray","TX","Pampa","Gray",NA,1.27365728900255
"108","County","Gulf","FL","Panama City","Gulf",NA,4.32376126126126
"109","County","Hale","TX","Plainview","Hale",NA,1.10881542699726
"110","County","Hall","GA","Gainesville","Hall",NA,8.72045331894224
"111","County","Hall","NE","Grand Island","Hall",NA,5.84848484848486
"112","County","Hart","GA",NA,"Hart",NA,6.06108897742363
"113","County","Hays","TX","Austin","Hays",NA,3.93984108967083
"114","County","Hill","MT",NA,"Hill",NA,6.3122037914692
"115","County","Hill","TX",NA,"Hill",NA,0.317185697808542
"116","County","Hoke","NC","Fayetteville","Hoke",NA,3.22733245729303
"117","County","Hood","TX","Dallas-Fort Worth","Hood",NA,5.01229314420804
"118","County","Hunt","TX","Dallas-Fort Worth","Hunt",NA,10.2656826568266
"119","County","Inyo","CA",NA,"Inyo",NA,7.08689334495787
"120","County","Iowa","IA",NA,"Iowa",NA,4.20080053368912
"121","County","Iowa","WI","Madison","Iowa",NA,6.42710997442455
"122","County","Iron","UT","Cedar City","Iron",NA,-0.827032136105865
"123","County","Jack","TX",NA,"Jack",NA,-0.0308988764044948
"124","County","Juab","UT","Provo","Juab",NA,1.57852564102565
"125","County","Kane","IL","Chicago","Kane",NA,7.01152993348115
"126","County","Kane","UT",NA,"Kane",NA,-4.67758620689656
"127","County","Kent","DE","Dover","Kent",NA,0.272637308263235
"128","County","Kent","MD",NA,"Kent",NA,4.23905385002517
"129","County","Kent","MI","Grand Rapids","Kent",NA,4.18280151433208
"130","County","Kent","RI","Providence","Kent",NA,8.57956943858167
"131","County","Kern","CA","Bakersfield","Kern",NA,5.01098901098902
"132","County","Kerr","TX","Kerrville","Kerr",NA,0.949294302143233
"133","County","King","WA","Seattle","King",NA,5.72214342001576
"134","County","Knox","IL","Galesburg","Knox",NA,0.998522895125564
"135","County","Knox","IN","Vincennes","Knox",NA,2.25248756218905
"136","County","Knox","ME",NA,"Knox",NA,1.91674167416742
"137","County","Knox","OH","Mount Vernon","Knox",NA,6.19726421886249
"138","County","Knox","TN","Knoxville","Knox",NA,4.36739380022961
"139","County","Lake","CA","Clearlake","Lake",NA,0.494672131147533
"140","County","Lake","CO",NA,"Lake",NA,6.27538726333907
"141","County","Lake","FL","Orlando","Lake",NA,6.20134874759153
"142","County","Lake","IL","Chicago","Lake",NA,6.91850594227503
"143","County","Lake","IN","Chicago","Lake",NA,13.4463519313305
"144","County","Lake","MN",NA,"Lake",NA,4.11874623267028
"145","County","Lake","MT",NA,"Lake",NA,0.914154902708897
"146","County","Lake","OH","Cleveland","Lake",NA,4.56749311294766
"147","County","Lamb","TX",NA,"Lamb",NA,-1.39867841409692
"148","County","Lane","OR","Eugene","Lane",NA,3.3243626062323
"149","County","Leon","FL","Tallahassee","Leon",NA,5.49599999999999
"150","County","Leon","TX",NA,"Leon",NA,3.28469468675654
"151","County","Linn","IA","Cedar Rapids","Linn",NA,1.84151472650771
"152","County","Linn","KS","Kansas City","Linn",NA,4.52118644067796
