RegionName,State,Metro,CountyName,Type,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
New Haven,CT,New Haven,New Haven,5 or more-Bedroom,30,,,,,,,,,,,,,,,,,1150,1175,1162.5,1195,1222.5,1190,1112.5,1200,1125,1100,1225,1200,1200,1200,1200,1200,1112.5,1150,1150,1150,1150,1200,1162.5,1112.5,1187.5,1175,1200,1200,1137.5,1100,1100,1195,1162.5,1150,1200,1125,1192.5,1250,1200,1200,1200,1200,1185,1200,1200,1200,1212.5,1287.5,1262.5,1262.5,1350,1200,1225,1250,1250,1200,1200,1275,1312.5,1195,1275,1275,1250,1200,1287.5,1200,1260,1200,1275,1450,1550,1500,1395,1300,1300,1300,1375,1350,1325,1395,1500,1525,1537.5,1550,1600,1550
Cumming,GA,Atlanta,Forsyth,5 or more-Bedroom,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150,2150,2040,1975,2050,1950,2200,1995,1950,1962.5,1862.5,1775,1695,1800,1995,2225,2350,2300,2200,2200,2200,2200,2200,2200,1995,2175,2150,2300,2500,2250,2200,2095,2100,2197.5,2200,2100,2195,2200,2300,2450,2500,2400,2200,2375,2300,2275,2150,2100,2200,2250,2350,2350,2550,2487.5,2375,2300,2350,2300,2195,2195,2100,2250,2300,2300,2350
Bloomington,IN,Bloomington,Monroe,5 or more-Bedroom,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,3000,2950,2825,3000,2950,3000,3450,3200,2825,3000,3125,3000,2800,3100,3000,2950,3000,3417.5
Frisco,TX,Dallas-Fort Worth,Collin,5 or more-Bedroom,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,2595,2595,2750,2750,2725,2750,2925,2995,3000,2995,2972.5,2897.5,2800,2875,2825,2795,2900,2872.5,2950,2800
Waterbury,CT,New Haven,New Haven,5 or more-Bedroom,34,,,,,,,,,,,,797.5,800,775,775,762.5,750,725,725,750,800,800,800,800,800,800,800,800,775,775,800,775,762.5,795,795,762.5,775,795,800,800,800,800,825,800,800,825,800,800,800,800,800,800,825,800,800,800,825,837.5,827,825,850,850,825,825,850,862.5,850,825,850,850,850,850,850,825,825,800,812.5,800,825,825,825,825,825,825,850,837.5,825,850,850,850,850,850,825,825,825,850,850,850,850,850,850,850
Temecula,CA,Riverside,Riverside,5 or more-Bedroom,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2675,2600,2647.5,2597.5,2672.5,2747.5,2700,2700,2800,2797.5,2695,2600,2695,2772.5,2745,2750,2650
Murrieta,CA,Riverside,Riverside,5 or more-Bedroom,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2295,2295,2350,2350,2350,2395,2395,2400,2425,2472.5,2397.5,2425,2395,2395,2425,2499,2499.5,2472.5,2585,2685
Cambridge,MA,Boston,Middlesex,5 or more-Bedroom,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600,4600,4550,4550,4500,4300,4200,4175,4200,4275,4200,4800,5250,5500,5387.5,5250,4950
Somerville,MA,Boston,Middlesex,5 or more-Bedroom,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3800,3800,3800,3700,3600,3800,3200,3200,3200,3750,3750,4100,4000,4000,3800,3600,3500,3262.5,3200,3150,3200,3700,4100,4350,4350,4200,4200
Weston,FL,Miami-Fort Lauderdale,Broward,5 or more-Bedroom,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300,4200,4000,4100,4150,4200,4200,4200,4100,4400,4600,4700
West Hartford,CT,Hartford,Hartford,5 or more-Bedroom,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,1425,1400,1450,1700,1545,1500,1500,1450,1450,1450,1500,1500,1500,1600,1550,1650
Greenwich,CT,Stamford,Fairfield,5 or more-Bedroom,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9500,10000,10750,9850,10825,10550,10500,10600,12500,13500,13000,11250,10500,9000,9000,10500,9650,9875,10900,10000,9800,9500,9125,9000,9750,9000,9000,9800,11500,11500,9900,9875
Eastvale,CA,Riverside,Riverside,5 or more-Bedroom,42,,,,,,,,,,,,,,,,2495,2495,2472.5,2400,2472.5,2500,2500,2497.5,2500,2500,2495,2499,2400,2450,2500,2500,2450,2497,2499,2450,2495,2450,2400,2400,2450,2400,2500,2500,2500,2477.5,2450,2450,2492.5,2500,2495,2495,2500,2500,2500,2500,2500,2450,2475,2500,2500,2500,2597.5,2550,2600,2597.5,2600,2600,2600,2600,2650,2600,2600,2600,2650,2595,2600,2600,2625,2685,2675,2695,2780,2695,2725,2750,2800,2765,2750,2800,2800,2800,2797.5,2790,2750,2797.5,2800,2799,2895,2800,2895,2900,2885
Mc Lean,VA,Washington,Fairfax,5 or more-Bedroom,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500,5200,4925,4500,4550,4500,4450,4350,4400,4500,4200,4000,4150,4875,4850,5200,5000,4900
Doral,FL,Miami-Fort Lauderdale,Miami-Dade,5 or more-Bedroom,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100,4350,4500,4150,4000,4100,4550,4500,4500,4500,4500,4650,4300,4400,4500,4500,4300,4500,4600
Coral Gables,FL,Miami-Fort Lauderdale,Miami-Dade,5 or more-Bedroom,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9600,9900,10000,11000,11000,9950,11000,11000,11000,11500,12000,10000,10000,8700,8550,8300
Buford,GA,Atlanta,Gwinnett,5 or more-Bedroom,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2000,1995,1995,1995,1995,1995,1999.5,2000,2000,2023,1999.5
Newport,RI,Providence,Newport,5 or more-Bedroom,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3266.5,3100,3000,3000,2700,2900,2800,2833,3000,3000,3000,3000,3350,2900,2600
