Type,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
2-Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2325.0,2272.5,2550.0,2700.0,2750.0,2785.0,2837.0,2700.0,2800.0,2888.0,2825.0,2795.0,3100.0,2775.0,2800.0,2495.0,2800.0,2500.0,2650.0,2600.0,2695.0,2762.5,2712.5,2737.5,2737.5,2795.0,2800.0,2875.0,2840.0,2790.0,2750.0,2660.0,2599.5,2687.5,2795.0,2795.0,2895.0
2-Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.5,1600.0,1650.0,1654.0,1625.0,1650.0,1640.0,1650.0,1760.0,1684.0,1700.0,1699.0,1784.0,1885.0,1875.0,1826.0,1881.0,1912.0,1880.0,1787.0,1749.0,1800.0,1954.0,1955.0,1953.5,1918.0,1900.0,1997.5,2012.5,2025.0,2100.0,2221.0,2200.0,2295.0,2195.0,2200.0,2128.0,2235.0,2200.0,2145.0,2265.0,2300.0,2491.5,2515.0,2585.0,2553.0,2685.0,2660.0,2500.0,2660.0,2661.5,2600.5,2613.0,2617.5,2637.0,2628.0,2644.0,2634.0,2537.0,2575.0,2558.0,2454.0,2500.0,2500.0,2455.0,2500.0,2615.0,2639.0,2630.0,2600.0,2611.0,2603.0,2600.0,2600.0,2606.0,2579.0,2554.5,2633.0,2700.0,2695.0,2744.0,2709.0
2-Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.5,2000.0,2085.0,2200.0,2095.0,2200.0,2150.0,2050.0,2070.0,2200.0,2225.0,2150.0,2250.0,2197.5,2200.0,2200.0,2250.0,2215.0
2-Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1779.0,2001.0,2036.0,2067.0,2221.0,2377.0,2315.0,2275.0,2245.0,2260.0,2185.0,2200.0,2128.0,2155.0,2210.0,2225.0,2390.0,2370.0,2475.0,2402.0,2397.0,2415.0,2500.0,2486.0,2527.0,2457.0,2500.0,2695.0,2710.0,2787.5,2800.0,2915.0,2765.0,2733.0,2795.0,2755.0,2975.0,3030.0,3002.0,3063.5,3087.5,3092.5,3100.0,3099.5,3170.0,3155.0,3083.5,3001.0,3001.0,3100.0,3126.0,3142.0,3146.0,3293.0,3262.0,2995.0,3095.5,2895.0,2934.0,2950.0,3000.0,2950.0,3100.0,3200.0,3300.0,3193.5,3274.0,3140.5,3086.0,3027.5,2995.0,3026.0,3080.0,3092.5,3202.5,3200.0,3200.0,3285.0,3295.0
2-Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0,2800.0,2800.0,3025.0,3000.0,2975.0,3397.5,3450.0,3290.0,3250.0,3244.0,3250.0,3100.0,3091.0,3100.0,3195.0,3200.0,3300.0,3400.0,3300.0,3800.0,3522.5,3347.0
2-Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1357.5,1480.0,1587.5,1595.0,1500.0,1595.0,1500.0,1500.0,1595.0,1595.0,1595.0,1685.0,1695.0,1650.0,1650.0,1695.0,1695.0,1695.0,1695.0,1695.0,1695.0,1800.0,1800.0,1800.0,1795.0
2-Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1668.0,1650.0,1728.0,1695.0,1753.5,1750.0,1837.5,1795.0,1850.0,1815.0,1802.5,1800.0,1850.0,1800.0,1845.5,1900.0,1995.0,1911.0
2-Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3250.0,3360.0,3690.0,3650.0,3462.5,3200.0,2970.0,2922.5,3280.0,3090.0,3090.0,3090.0,3090.0,3090.0,3095.0,3250.0,3434.5,3500.0,3325.0,3295.0,3295.0,3295.0,3295.0,3749.0,3499.0,3555.0,3555.0,3683.0,3695.0,3495.0,3576.0,3595.0,3787.0,3800.0,3800.0,3850.0,4000.0,3963.0,3975.0,3997.0,3800.0,3800.0,3800.0,3800.0,3800.0,3805.0,4095.0,4195.0,3997.5,3886.0,3797.5,3550.0,3850.0,3572.5,3700.0,3720.0,3597.5,3673.5,3625.0,3875.0,3950.0,3962.5,3775.0,3775.0,3745.0,3500.0,3550.0,3800.0,3800.0,3700.0,3800.0,4000.0,3895.0,4223.0
3-Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995.0,1985.0,2100.0,2295.0,2375.0,2300.0,2300.0,2250.0,2300.0,2395.0,2264.5,2300.0,2288.0,2200.0,2262.5,2275.0,2295.0,2350.0,2395.0,2660.0,2600.0,2599.0,2400.0,2495.0,2450.0,2400.0,2495.0,2500.0,2499.0,2513.5,2695.0,2668.0,2695.0,2750.0,2695.0,2840.0,2700.0,2608.0,2630.0,2750.0,2854.0,2900.0,2850.0,2950.0,2995.0,2951.5,2900.0,3000.0,3000.0,3000.0,3000.0,3150.0,3200.0,3300.0,3210.0,3287.0,3300.0,3299.5,3295.0,3250.0,3300.0,3395.0,3350.0,3314.0,3450.0,3400.0,3397.5,3232.5,3200.0,3195.0,3195.0,3150.0,3200.0,3285.0,3300.0,3382.5,3450.0,3405.0,3500.0,3450.0,3400.0,3395.0,3385.0,3395.0,3397.0,3400.0,3400.0,3495.0,3500.0,3500.0,3550.0
3-Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,4395.0,4000.0,3900.0,3890.0,4200.0,4000.0,4000.0,4500.0,4500.0,4225.0,4500.0,4197.5,4500.0,4500.0,4980.0,4987.5,4800.0,4495.0,5275.0,5200.0,5195.0,5295.0,5500.0,5315.0,5199.5,5200.0,5000.0,5150.0,4997.0,5135.0,5500.0,4900.0,4800.0,5625.0,5500.0,5800.0,5500.0,5950.0,5995.0,5999.0,5995.0,5795.0,5650.0,5945.0,6200.0,6500.0,6250.0,5900.0,5800.0,5900.0,5995.0,5950.0,5899.5,5680.0,5950.0,5595.0,5642.5,5649.5,5647.5,5331.5,5500.0,5200.0,5000.0,5495.0,5500.0,5387.5,5495.0,5495.0,5500.0,5477.0,5450.0,5495.0,5495.0,5500.0,5495.0,5395.0,5500.0,5500.0,5500.0,5500.0,5600.0
